category,description
Allowance,From dad
Food,Snacks
Other,From dad
Household,Stuffs
Transportation,Metro
Food,Dinner
Food,Lunch with company
Transportation,Rapido to pg
Food,Dinner
Other,Gundan + prasanna
Other,From dad
Food,Snacks
Food,Eve snack
Food,Lunch with company
Food,Snack with preethi
Food,Dinner
Food,Lunch + chocolate for preethi
Other,From vicky
Food,Snacks
Food,Lunch with company
Other,From dad
Food,Snacks with preethi and azar
apparel,Badminton
Other,From vicky
Food,Lemon tea
Food,Paani poori
Other,Vishnu 100 gowdham 25
Food,Snacks
salary,office
Food,Zinger box meal
Other,To vishnu
Food,Lunch with company
Food,Banana
Other,Sent to barath
Food,Brunch
Food,Cycle gap 
Food,Dinner
Other,To vicky
Transportation,Train to vnr
Food,Dinner with barath
Other,Tablet to gowdham
Food,Parotta
Food,Brownie
apparel,Games 
Food,Kfc 
Food,Side dishes
Food,Lunch
Food,Kfc dinner
Transportation,To egmore
Other,To auto anna
Transportation,Metro
Transportation,Bus ticket
Food,Snacks
Food,Random stuff for drinks
Food,Lunch
Transportation,Train cbe to chn
Household,Stuffs
Transportation,It better be worth it
Food,Eggs
Apparel,Hoodie for gobi
Food,Creamstone
Food,Tea lights
Other,To karthi
Food,Lunch
salary,office
Food,Pizza
Other,From abi
Food,Lunch unlimited nv
Other,From shakur
Other,From barath
Food,Dairy milk
Other,To gowdham
Food,Good soup
Transportation,Bus to Bangalore
salary,office
Household,Stuffs
Apparel,Earphone
Transportation,To ksr station
Food,Sent to preethi
Other,To vicky
Food,Lunch with company
Education,Arrear and reval fee
Other,To lended people
Transportation,Took from sbi
Food,Ramen with gobi
Salary,office
Household,Stuffs
Food,Shawarma
Transportation,Cab
Food,Lunch with company
Transportation,Refund for bus ticket
Other,To abijith and to vicky lend money returned
Other,To gobi 1st 1/4th
Other,Lended money returned to kumara
Food,Jan 2nd with shakur and barath
Other,Lended money returned to vishnu
apparel,Spiderman 
salary,office
Household,Stuffs
Transportation,Vnr to apk
Transportation,Rapido to pg
Food,Bingo
Food,Dinner with roommate
Food,Ketch up
Other,From barath and shakur
Other,To gobi
Transportation,To chennai
Food,To kumara
Food,Cakepark
Food,Dinner with aravind and buddies
Food,Snacks
Household,Stuffs
salary,office
Food,Coffee + biscuit
Transportation,Auto to Gobi's place
Other,To kumara
Household,Stuffs
Food,Lunch
apparel,Beer
Food,Kfc date with myself
salary,office
Other,From vicky
Household,Rent
Food,Lunch with gowdham
Other,From gowdham
salary,office
Other,From dad
Other,Gave to gowdham
Transportation,Travel to koyambedu
Food,Tamen
Food,Snacks
Transportation,Rapido to pg
Other,From Deepak
Household,Bean bag
Other,From vicky
Other,Kumara
Food,Sent to vicky
Food,Dinner
Food,Pepsi
Food,Lunch with company
salary,office
Transportation,Train to vnr
Other,To vicky
Food,Friday snacks with preethi gang
salary,office
Other,From barath
Household,Bean bag
Food,Kfc dinner
Food,Panipoori
Food,Milk with bharath
Other,To kumara
Other,From ganesan
Other,From abi
Transportation,Rapido + toll
Transportation,Bommasandra to pg
Food,Lunch with not preethi
Household,Bean bag
Food,Dinner with aravind
Other,From dad
Food,Lunch pongal
Other,From gowdham
Salary,office
Other,Siva + 100 cash
Other,From dad
Transportation,Rapido
Food,Dinner with gowdham
Food,Dinner with gowdham
Food,Zomato
Food,Snack
Food,Breakfast
Food,Panipoori
Food,Lunch with company
Food,Dinner
Transportation,Rapido to pg
Food,Breakfast
Food,Lunch with company
apparel,Bharath birthday
Food,Pizza
Other,From kumara
Other,Recharge by gowdham
Other,From dad
Food,Lunch
Household,Mirror
Food,Milk with bharath
Food,Milk with bharath
Food,Snacks
Food,Lunch
Food,Lunch
Food,Panipoori
Food,Egg
Food,Lunch with company
Food,Milk with bharath
Food,Lunch
Other,Lended money
Food,To rahul
Allowance,From dad
Other,To abijith
Other,To siva
Food,Milk with bharath
Food,Lunch with barath
Food,Water
Food,Snacks
Transportation,Taxi
Food,Milk with bharath
Food,Bun
Food,Puffs
Food,Dinner with barath
Food,Puffs and coffee
Food,Lemon tea with company
Food,Lunch with company
Food,Milk with bharath
Food,Water
Food,Corn
Shopping,Books
Food,Dinner with barath
Food,Coconut water with stu
Other,From vicky
Food,Lunch with barath
Food,Coffee and thattai
Food,Water
Other,From Deepak
Food,Horlicks + kolakattai
Salary,office
Transportation,Pg to office
Food,To barath
Shopping,Gift
Transportation,Cab
Food,Lunch at restaurant
Food,Groceries
Food,Dinner at cafe
Food,Coffee
Food,Snacks
Food,Takeout
Food,Dinner party
Transportation,Bus fare
Transportation,Taxi
Transportation,Gasoline
Transportation,Train ticket
Transportation,Car maintenance
Transportation,Flight ticket
Utilities,Electricity bill
Utilities,House rent
Utilities,Water bill
Utilities,Internet bill
Utilities,Gas bill
Utilities,Phone bill
Entertainment,Movie ticket
Entertainment,Concert ticket
Entertainment,Theater play
Entertainment,Netflix subscription
Entertainment,Music album
Entertainment,Video game
Rent,Monthly rent
Healthcare,Doctor appointment
Healthcare,Pharmacy purchase
Healthcare,Medical bill
Healthcare,Health insurance
Education,Book purchase
Education,Online course fee
Education,School supplies
Education,Tuition fee
Shopping,Clothes
Shopping,Shoes
Shopping,Electronics
Shopping,Furniture
Shopping,Jewelry
Shopping,Gifts
Travel,Hotel booking
Travel,Tour package
Travel,Souvenirs
Travel,Travel insurance
Miscellaneous,Charity donation
Miscellaneous,Gym membership
Miscellaneous,Pet food
Miscellaneous,Household items
Miscellaneous,Gardening supplies
Food,Lunch at restaurant
Food,Groceries
Food,Dinner at cafe
Food,Coffee
Food,Snacks
Food,Takeout
Food,Dinner party
Transportation,Bus fare
Transportation,Taxi
Transportation,Gasoline
Transportation,Train ticket
Transportation,Car maintenance
Transportation,Flight ticket
Utilities,Electricity bill
Utilities,Water bill
Utilities,Internet bill
Utilities,Gas bill
Utilities,Phone bill
Entertainment,Movie ticket
Entertainment,Concert ticket
Entertainment,Theater play
Entertainment,Netflix subscription
Entertainment,Music album
Entertainment,Video game
Rent,Monthly rent
Healthcare,Doctor appointment
Healthcare,Pharmacy purchase
Healthcare,Medical bill
Healthcare,Health insurance
Education,Book purchase
Education,Online course fee
Education,School supplies
Education,Tuition fee
Shopping,Clothes
Shopping,Shoes
Shopping,Electronics
Shopping,Furniture
Shopping,Jewelry
Shopping,Gifts
Travel,Hotel booking
Travel,Tour package
Travel,Souvenirs
Travel,Travel insurance
Miscellaneous,Charity donation
Miscellaneous,Gym membership
Miscellaneous,Pet food
Miscellaneous,Household items
Miscellaneous,Gardening supplies
Food,Lunch at restaurant
Food,Groceries
Food,Dinner at cafe
Food,Coffee
Food,Snacks
Food,Takeout
Food,Dinner party
Transportation,Bus fare
Transportation,Taxi
Transportation,Gasoline
Transportation,Train ticket
Transportation,Car maintenance
Transportation,Flight ticket
Utilities,Electricity bill
Utilities,Water bill
Utilities,Internet bill
Utilities,Gas bill
Utilities,Phone bill
Entertainment,Movie ticket
Entertainment,Concert ticket
Entertainment,Theater play
Entertainment,Netflix subscription
Entertainment,Music album
Entertainment,Video game
Rent,Monthly rent
Healthcare,Doctor appointment
Healthcare,Pharmacy purchase
Healthcare,Medical bill
Healthcare,Health insurance
Education,Book purchase
Education,Online course fee
Education,School supplies
Education,Tuition fee
Shopping,Clothes
Shopping,Shoes
Shopping,Electronics
Shopping,Furniture
Shopping,Jewelry
Shopping,Gifts
Travel,Hotel booking
Travel,Tour package
Travel,Souvenirs
Travel,Travel insurance
Miscellaneous,Charity donation
Miscellaneous,Gym membership
Miscellaneous,Pet food
Miscellaneous,Household items
Miscellaneous,Gardening supplies
Food,Lunch at restaurant
Food,Groceries
Food,Dinner at cafe
Food,Coffee
Food,Snacks
Food,Takeout
Food,Dinner party
Transportation,Bus fare
Transportation,Taxi
Transportation,Gasoline
Transportation,Train ticket
Transportation,Car maintenance
Transportation,Flight ticket
Utilities,Electricity bill
Utilities,Water bill
Utilities,Internet bill
Utilities,Gas bill
Utilities,Phone bill
Entertainment,Movie ticket
Entertainment,Concert ticket
Entertainment,Theater play
Entertainment,Netflix subscription
Entertainment,Music album
Entertainment,Video game
Rent,Monthly rent
Healthcare,Doctor appointment
Healthcare,Pharmacy purchase
Healthcare,Medical bill
Healthcare,Health insurance
Education,Book purchase
Education,Online course fee
Education,School supplies
Education,Tuition fee
Shopping,Clothes
Shopping,Shoes
Shopping,Electronics
Shopping,Furniture
Shopping,Jewelry
Shopping,Gifts
Travel,Hotel booking
Travel,Tour package
Travel,Souvenirs
Travel,Travel insurance
Miscellaneous,Charity donation
Miscellaneous,Gym membership
Miscellaneous,Pet food
Miscellaneous,Household items
Miscellaneous,Gardening supplies
